name,type,address,rating,reviews,query,scraped_at,link,image
T L M Computers,Computer Software Shop, · 14B Chester Rd W,4.8,6,computer shops in shotton,2025-11-13 13:35:17.497335,https://www.google.com/maps/place/T+L+M+Computers/data=!4m7!3m6!1s0x487adafad6ff7807:0xff27b402d1e0cbbf!8m2!3d53.2125286!4d-3.0398129!16s%2Fg%2F1tg_fl8h!19sChIJB3j_1vraekgRv8vg0QK0J_8?authuser=0&hl=en&rclk=1,https://ssl.gstatic.com/local/servicebusiness/default_user.png
shotton phones,Phone repair service, · 60 Chester Rd W,4.6,60,computer shops in shotton,2025-11-13 13:35:17.566258,https://www.google.com/maps/place/shotton+phones/data=!4m7!3m6!1s0x487adb5745b8ec71:0x241453594802ff05!8m2!3d53.2133509!4d-3.0419466!16s%2Fg%2F11x2pkcwj8!19sChIJcey4RVfbekgRBf8CSFlTFCQ?authuser=0&hl=en&rclk=1,https://ssl.gstatic.com/local/servicebusiness/default_user.png
